titleID	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	availabilityStart	availabilityEnd
tt0003893	movie	Even Unto Death	Even Unto Death	0	1914	\N	\N	Drama	2021-11-27T00:00:00	2022-05-20T00:00:00
tt0005160	movie	Cross Currents	Cross Currents	0	1915	\N	50	Drama	2021-12-19T00:00:00	2022-10-05T00:00:00
tt0006144	movie	A Texas Steer	A Texas Steer	0	1915	\N	\N	"Action,Adventure,Comedy"	2021-07-09T00:00:00	2022-06-03T00:00:00
tt0007038	movie	Maria Rosa	Maria Rosa	0	1916	\N	50	Drama	2021-04-29T00:00:00	2022-04-20T00:00:00
tt0007805	movie	The Clock	The Clock	0	1917	\N	50	Comedy	2021-04-27T00:00:00	2022-12-02T00:00:00
tt0008485	movie	Queen X	Queen X	0	1917	\N	\N	"Crime,Drama"	2021-06-27T00:00:00	2022-11-04T00:00:00
tt0009148	movie	Heart of the Wilds	Heart of the Wilds	0	1918	\N	50	Drama	2021-03-08T00:00:00	2022-04-11T00:00:00
tt0009793	movie	Which Woman?	Which Woman?	0	1918	\N	50	Mystery	2021-08-16T00:00:00	2022-06-27T00:00:00
tt0010454	movie	The Merry-Go-Round	The Merry-Go-Round	0	1919	\N	\N	"Comedy,Drama"	2021-06-27T00:00:00	2022-07-06T00:00:00
tt0011114	movie	The Devil's Passkey	The Devil's Passkey	0	1920	\N	130	Drama	2021-03-30T00:00:00	2022-09-03T00:00:00
tt0011739	movie	The Strongest	The Strongest	0	1920	\N	\N	Drama	2021-04-19T00:00:00	2022-06-10T00:00:00
tt0012349	movie	The Kid	The Kid	0	1921	\N	68	"Comedy,Drama,Family"	2021-02-24T00:00:00	2022-07-07T00:00:00
tt0012933	movie	The Better Man Wins	The Better Man Wins	0	1922	\N	64	"Action,Western"	2021-09-02T00:00:00	2022-07-18T00:00:00
tt0013544	movie	La reina mora	La reina mora	0	1923	\N	\N	\N	2021-07-07T00:00:00	2022-06-21T00:00:00
tt0014146	movie	Crown of Thorns	I.N.R.I.	0	1923	\N	102	Drama	2021-01-23T00:00:00	2022-02-23T00:00:00
tt0014740	movie	The Breathless Moment	The Breathless Moment	0	1924	\N	60	"Comedy,Crime"	2021-10-02T00:00:00	2022-08-02T00:00:00
tt0015315	movie	Sell 'Em Cowboy	Sell 'Em Cowboy	0	1924	\N	\N	"Comedy,Drama,Western"	2021-08-10T00:00:00	2022-12-17T00:00:00
tt0015920	movie	His Supreme Moment	His Supreme Moment	0	1925	\N	80	Drama	2021-05-02T00:00:00	2022-01-08T00:00:00
tt0016534	movie	Wild Horse Mesa	Wild Horse Mesa	0	1925	\N	95	Western	2021-04-20T00:00:00	2022-01-27T00:00:00
tt0017144	movie	The Midnight Sun	The Midnight Sun	0	1926	\N	90	Drama	2021-02-02T00:00:00	2022-05-10T00:00:00
tt0017755	movie	The City Gone Wild	The City Gone Wild	0	1927	\N	60	"Crime,Drama,Romance"	2021-10-08T00:00:00	2022-12-07T00:00:00
tt0018348	movie	The Royal American	The Royal American	0	1927	\N	\N	Adventure	2021-01-20T00:00:00	2022-06-21T00:00:00
tt0018917	movie	Freedom of the Press	Freedom of the Press	0	1928	\N	62	Mystery	2021-02-06T00:00:00	2022-07-15T00:00:00
tt0019519	movie	The Valley of Hunted Men	The Valley of Hunted Men	0	1928	\N	54	Action	2021-12-30T00:00:00	2022-03-19T00:00:00
tt0020139	movie	"Der Mann, der nicht liebt"	"Der Mann, der nicht liebt"	0	1929	\N	\N	\N	2021-07-10T00:00:00	2022-01-04T00:00:00
tt0020766	movie	Alien Shore	Chuzhoy bereg	0	1930	\N	\N	\N	2021-08-22T00:00:00	2022-01-09T00:00:00
tt0021421	movie	Strictly Modern	Strictly Modern	0	1930	\N	63	Romance	2021-07-05T00:00:00	2022-09-06T00:00:00
tt0022097	movie	Die lustigen Weiber von Wien	Die lustigen Weiber von Wien	0	1931	\N	109	Comedy	2021-09-01T00:00:00	2022-01-07T00:00:00
tt0022762	movie	Chotard and Company	Chotard et Cie	0	1933	\N	83	Comedy	2021-04-07T00:00:00	2022-12-23T00:00:00
tt0023430	movie	A Scarlet Week-End	A Scarlet Week-End	0	1932	\N	63	Mystery	2021-07-25T00:00:00	2022-10-11T00:00:00
tt0024097	movie	Headline Shooter	Headline Shooter	0	1933	\N	61	"Adventure,Crime,Drama"	2021-10-14T00:00:00	2022-10-19T00:00:00
tt0024734	movie	Vica the Canoeist	"Vica, a vadevezös"	0	1933	\N	74	Comedy	2021-04-23T00:00:00	2022-04-01T00:00:00
tt0025380	movie	Let's Be Ritzy	Let's Be Ritzy	0	1934	\N	68	"Adventure,Comedy,Romance"	2021-02-08T00:00:00	2022-05-08T00:00:00
tt0026038	movie	The Adventures of Rex and Rinty	The Adventures of Rex and Rinty	0	1935	\N	229	"Action,Adventure"	2021-05-07T00:00:00	2022-03-13T00:00:00
tt0026674	movie	Man of Iron	Man of Iron	0	1935	\N	61	Drama	2021-07-27T00:00:00	2022-01-11T00:00:00
tt0027324	movie	Adventure in Paris	Aventure à Paris	0	1936	\N	95	\N	2021-08-22T00:00:00	2022-10-21T00:00:00
tt0027935	movie	The Man Behind the Mask	The Man Behind the Mask	0	1936	\N	79	Drama	2021-04-15T00:00:00	2022-12-05T00:00:00
tt0028541	movie	300.000 pengö az utcán	300.000 pengö az utcán	0	1937	\N	81	Comedy	2021-06-02T00:00:00	2022-11-13T00:00:00
tt0029171	movie	A Night of Terror	Love from a Stranger	0	1937	\N	86	"Drama,Mystery,Romance"	2021-03-13T00:00:00	2022-07-21T00:00:00
tt0029826	movie	L'étrange Monsieur Victor	L'étrange Monsieur Victor	0	1938	\N	103	"Crime,Drama"	2021-05-18T00:00:00	2022-07-17T00:00:00
tt0030467	movie	Mr. Chump	Mr. Chump	0	1938	\N	60	Comedy	2021-06-17T00:00:00	2022-11-05T00:00:00
tt0031102	movie	Blackmail	Blackmail	0	1939	\N	81	"Crime,Drama,Thriller"	2021-01-21T00:00:00	2022-12-03T00:00:00
tt0031698	movie	My Son Is Guilty	My Son Is Guilty	0	1939	\N	63	"Action,Adventure,Crime"	2021-04-01T00:00:00	2022-03-28T00:00:00
tt0032326	movie	Charlie Chan's Murder Cruise	Charlie Chan's Murder Cruise	0	1940	\N	76	Mystery	2021-05-20T00:00:00	2022-09-08T00:00:00
